"""","総数_人","労組法_人","特労法_人","　 地公労法_人","国公法_人","地公法_人"
"平成18年（2006年）_総数","54831.0","31827.0","2398.0","415.0","1068.0","19123.0"
"平成18年（2006年）_連合和歌山","33362.0","19765.0","2100.0","113.0","410.0","10974.0"
"平成18年（2006年）_県地評","11150.0","2473.0","298.0","302.0","644.0","7433.0"
"平成18年（2006年）_その他の組織","5744.0","5679.0","0.0","0.0","14.0","51.0"
"平成18年（2006年）_無加盟","4575.0","3910.0","0.0","0.0","0.0","665.0"
"","","","","","",""
"平成19年（2007年）_総数","53601.0","32293.0","2463.0","356.0","1024.0","17465.0"
"平成19年（2007年）_連合和歌山","32656.0","20507.0","2165.0","90.0","389.0","9505.0"
"平成19年（2007年）_県地評","10653.0","2279.0","298.0","266.0","623.0","7187.0"
"平成19年（2007年）_その他の組織","5798.0","5735.0","0.0","0.0","12.0","51.0"
"平成19年（2007年）_無加盟","4494.0","3772.0","0.0","0.0","0.0","722.0"
"","","","","","",""
"平成20年（2008年）_総数","52042.0","32533.0","267.0","318.0","972.0","17952.0"
"平成20年（2008年）_連合和歌山","32013.0","21291.0","25.0","66.0","361.0","10270.0"
"平成20年（2008年）_県地評","10301.0","2274.0","242.0","252.0","599.0","6934.0"
"平成20年（2008年）_その他の組織","5367.0","5304.0","0.0","0.0","12.0","51.0"
"平成20年（2008年）_無加盟","4361.0","3664.0","0.0","0.0","0.0","697.0"
"","","","","","",""
"平成21年（2009年）_総数","51425.0","33337.0","264.0","272.0","1075.0","16477.0"
"平成21年（2009年）_連合和歌山","30603.0","21137.0","22.0","48.0","361.0","9035.0"
"平成21年（2009年）_県地評","10060.0","2287.0","242.0","224.0","585.0","6722.0"
"平成21年（2009年）_その他の組織","5787.0","5607.0","0.0","0.0","129.0","51.0"
"平成21年（2009年）_無加盟","4975.0","4306.0","0.0","0.0","0.0","669.0"
"","","","","","",""
"平成22年（2010年）_総数","51032.0","33718.0","254.0","250.0","915.0","15895.0"
"平成22年（2010年）_連合和歌山","30983.0","21675.0","22.0","34.0","353.0","8899.0"
"平成22年（2010年）_県地評","9570.0","2279.0","232.0","216.0","552.0","6291.0"
"平成22年（2010年）_その他の組織","5966.0","5900.0","0.0","0.0","10.0","56.0"
"平成22年（2010年）_無加盟","4513.0","3864.0","0.0","0.0","0.0","649.0"
"","","","","","",""
"平成23年（2011年）_総数","49691.0","32687.0","254.0","211.0","901.0","15638.0"
"平成23年（2011年）_連合和歌山","30417.0","21225.0","22.0","0.0","347.0","8823.0"
"平成23年（2011年）_県地評","9361.0","2252.0","232.0","211.0","545.0","6121.0"
"平成23年（2011年）_その他の組織","5744.0","5682.0","0.0","0.0","9.0","53.0"
"平成23年（2011年）_無加盟","4169.0","3528.0","0.0","0.0","0.0","641.0"
"","","","","","",""
"平成24年（2012年）_総数","50425.0","33809.0","254.0","199.0","792.0","15371.0"
"平成24年（2012年）_連合和歌山","30759.0","21677.0","22.0","0.0","299.0","8761.0"
"平成24年（2012年）_県地評","9008.0","2170.0","232.0","199.0","486.0","5921.0"
"平成24年（2012年）_その他の組織","6432.0","6377.0","0.0","0.0","7.0","48.0"
"平成24年（2012年）_無加盟","4226.0","3585.0","0.0","0.0","0.0","641.0"
"","","","","","",""
"平成25年（2013年）_総数","49616.0","33378.0","237.0","184.0","706.0","15111.0"
"平成25年（2013年）_連合和歌山","30471.0","21695.0","22.0","0.0","280.0","8474.0"
"平成25年（2013年）_県地評","8777.0","2201.0","215.0","184.0","419.0","5758.0"
"平成25年（2013年）_その他の組織","5844.0","5791.0","0.0","0.0","7.0","46.0"
"平成25年（2013年）_無加盟","4524.0","3691.0","0.0","0.0","0.0","833.0"
"","","","","","",""
"平成26年（2014年）_総数","49443.0","33692.0","233.0","174.0","646.0","14698.0"
"平成26年（2014年）_連合和歌山","30251.0","21569.0","22.0","0.0","263.0","8397.0"
"平成26年（2014年）_県地評","8379.0","2170.0","211.0","174.0","378.0","5446.0"
"平成26年（2014年）_その他の組織","5776.0","5731.0","0.0","0.0","5.0","40.0"
"平成26年（2014年）_無加盟","5037.0","4222.0","0.0","0.0","0.0","815.0"
